127.0.0.1 - - [20/Aug/2018:11:44:34 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:39 +0900] "GET /music/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:40 +0900] "GET /music/css/style.css HTTP/1.1" 200 19257
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:40 +0900] "GET /music/js/smoothscroll.js HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:44 +0900] "GET /music/HomeAction HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:44 +0900] "GET /music/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:44 +0900] "GET /music/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:44 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:50 +0900] "GET /music/ProductListAction HTTP/1.1" 200 5161
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:50 +0900] "GET /music/images/sample.jpg HTTP/1.1" 200 112361
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:51 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:44:52 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:45:19 +0900] "POST /music/ProductListAction HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:45:20 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:45:23 +0900] "GET /music/ProductDetailsAction.action?productId=1 HTTP/1.1" 200 5627
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:45:23 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:45:25 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:50:16 +0900] "POST /music/ProductListAction HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:50:16 +0900] "GET /music/css/style.css HTTP/1.1" 200 19253
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:50:16 +0900] "GET /music/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:50:16 +0900] "GET /music/images/select.png HTTP/1.1" 404 234
0:0:0:0:0:0:0:1 - - [20/Aug/2018:11:50:20 +0900] "GET /music/js/smoothscroll.js HTTP/1.1" 304 -
